Language,Wiki,Depth
Kongo (Kituba),kg,25.51604981092314
Luxembourgish,lb,25.308630098608262
Tongan,to,24.35307073649746
Lhasa Tibetan,bo,24.213172345870188
Belarusian,be,23.966206493409498
Bislama,bi,23.683750786214112
Bashkir,ba,23.05604504979203
Karakalpak,kaa,23.023384146011427
Quechua (Southern Quechua),qu,22.812721081261174
Tuvan,tyv,22.600345890728416
Mirandese,mwl,22.59226231811686
Slovak,sk,22.287788817467444
Maithili,mai,21.943542783322712
Estonian,et,21.351211910881595
Central Bikol,bcl,21.14239242943888
Punjabi,pa,20.662331605340302
Javanese,jv,20.48999647777368
Malay,ms,20.000933276759078
Gagauz,gag,19.064448218194872
Guarani,gn,19.008378695195812
Scottish Gaelic,gd,18.5896131223784
Twi,tw,18.57467761340475
Dutch,nl,18.293046959826164
Ligurian,lij,17.856094913137717
Croatian,hr,17.70791510179148
Meadow Mari,mhr,17.31714640416706
Sardinian,sc,17.146293978317328
Swedish,sv,16.993063994457707
Sicilian,scn,16.798029759525424
Papiamento,pap,16.68130137418629
Esperanto,eo,16.205590419940936
Cornish,kw,16.140049049120552
Norwegian (Nynorsk),nn,15.35340666981475
Pali,pi,14.979151624835547
Latin,la,14.06451388190593
French Guianese Creole,gcr,13.871442484316379
Kabyle,kab,13.739008309706717
North Frisian,frr,13.396823552883669
Kazakh,kk,12.978215574731456
Basque,eu,12.939583523523112
Emilian-Romagnol,eml,12.755634627955855
Võro,fiu-vro,11.723521462557843
Gun,guw,11.613140590645834
Frafra,gur,11.563435132941374
Nias,nia,11.083202880837563
Western Armenian,hyw,10.893616020219401
Malagasy,mg,10.687598870271835
Breton,br,10.635657730103793
Kinyarwanda,rw,10.586073404837329
Neapolitan,nap,10.520636038505808
Cantonese,zh-yue,10.426928218229666
Tajik,tg,10.394162728115097
Banjarese,bjn,10.254419095671514
Asturian,ast,10.163912778254138
Rusyn,rue,10.015799470774128
Luganda,lg,9.983960667426844
Banyumasan,map-bms,9.943213687247253
Swahili,sw,9.852602943816283
Santali,sat,9.755310831099898
Kurdish (Kurmanji),ku,9.731609011313003
Wayuu,guc,9.526430199936629
Occitan,oc,9.41971760120163
Livvi-Karelian,olo,9.347281224992066
Zeelandic,zea,9.222791352252456
Pa'O,blk,8.957743799849744
Newar,new,8.77743887419006
Welsh,cy,8.763340886980732
Venetian,vec,8.550501678942803
Lombard,lmo,8.358351556622107
Chechen,ce,8.120485187179927
Māori,mi,8.098539944125326
Chuvash,cv,8.072529664634445
Kashubian,csb,7.878983269651233
Kikuyu,ki,7.524646113855795
Awadhi,awa,7.485181941889758
Mazanderani,mzn,7.2246735104860065
Tarantino,roa-tara,7.057436505881297
Zhuang (Standard Zhuang),za,6.889660559349267
Paiwan,pwn,6.785465817510062
Acehnese,ace,6.573509968619008
Samogitian,bat-smg,6.464181472311313
Southern Min,zh-min-nan,6.403764529019486
Zulu,zu,6.348756335244048
Picard,pcd,5.7380807092282415
Aymara,ay,5.69320547074147
Irish,ga,5.665867879828408
Hakka Chinese,hak,5.587644630502094
Low German,nds,5.572157053418737
Gilaki,glk,5.451186199072095
Yoruba,yo,5.362344959497395
South Azerbaijani,azb,5.035954798650981
N'Ko,nqo,4.906626542017346
Kabiye,kbp,4.758959470839882
Madurese,mad,4.693979171161693
Burmese,my,4.615387386562775
Jamaican Patois,jam,4.352593318654696
Ido,io,4.209573396914677
Hill Mari,mrj,3.8967105665647117
Mingrelian,xmf,3.845212968315115
Balinese,ban,3.8207922381291635
Shona,sn,3.7870256262522393
Waray,war,3.647476969442278
Navajo,nv,3.545839033892772
Shan,shn,3.486314146349372
Interlingua,ia,3.4523454481535913
Minangkabau,min,3.283525790203518
Eastern Min,cdo,3.1418918871829074
Crimean Tatar,crh,3.077456666396158
Hausa,ha,3.014711559360793
Western Punjabi,pnb,2.8726494017139896
Tumbuka,tum,2.6209350338737507
Sundanese,su,2.3484812189076516
Piedmontese,pms,2.2961510476085745
Zaza,diq,2.249570911344165
Dagbani,dag,2.189821671034634
Cebuano,ceb,2.1655484375498717
Lingua Franca Nova,lfn,2.081555904894444
Tatar,tt,1.659286394681871
Atikamekw,atj,1.6175506916674909
Igbo,ig,1.2248314060195096
Meitei,mni,1.140824399425261
Interlingue,ie,1.131334819939266
Gorontalo,gor,0.7845959647074494
Buginese,bug,0.7325060319610619
