Language,Wiki,Total_Pages,Articles,Non_Articles,Edits,Admins,Users,Active_Users,Depth,Depth_simple,Depth+,Depth+_simple
Pali,pi,4655,2548,2107,101971,2,7032,9,14.979151624835547,14.979151624835547,0.04636772072137362,0.04636772072137362
Latin,la,278506,137861,140645,3763514,17,168261,144,14.06451388190593,14.06451388190593,0.2005717671369507,0.20057176713695074
French Guianese Creole,gcr,2622,1064,1558,16963,1,2651,16,13.871442484316379,13.871442484316379,0.057174984432692116,0.05717498443269211
Kabyle,kab,16358,6696,9662,107940,2,12906,23,13.739008309706717,13.739008309706715,0.03393672810387201,0.03393672810387201
North Frisian,frr,44245,17400,26845,249022,4,19119,33,13.396823552883669,13.396823552883667,0.05995100051526242,0.05995100051526241
Kazakh,kk,600900,233748,367152,3160976,14,130411,274,12.978215574731456,12.978215574731456,0.24304201796242733,0.24304201796242736
Basque,eu,863797,411932,451865,9288929,12,148890,574,12.939583523523112,12.939583523523112,0.5457135452787092,0.5457135452787093
Emilian-Romagnol,eml,35221,13032,22189,154971,3,24803,33,12.755634627955855,12.755634627955855,0.02990242386526729,0.029902423865267286
Võro,fiu-vro,12351,6501,5850,178817,4,13831,33,11.723521462557843,11.723521462557843,0.12433767227598709,0.12433767227598709
Gun,guw,2247,1207,1040,35148,2,972,13,11.613140590645834,11.613140590645832,0.36052110835672624,0.36052110835672635
Frafra,gur,1291,536,755,7524,1,490,16,11.563435132941374,11.563435132941372,0.2680578989055419,0.2680578989055419
Nias,nia,3841,1569,2272,20302,3,1555,11,11.083202880837563,11.083202880837561,0.16242895350106612,0.1624289535010661
Western Armenian,hyw,22668,10747,11921,200694,5,8780,37,10.893616020219401,10.893616020219403,0.206930180477438,0.20693018047743802
Malagasy,mg,246599,95588,151011,1055993,3,30717,54,10.687598870271835,10.687598870271833,0.035678875128014355,0.03567887512801435
Breton,br,150912,80020,70892,2044988,6,74298,92,10.635657730103793,10.635657730103794,0.08919235383685263,0.08919235383685263
Kinyarwanda,rw,13327,6014,7313,95412,1,12265,30,10.586073404837329,10.586073404837329,0.021293960965823845,0.021293960965823845
Neapolitan,nap,23844,14778,9066,666532,3,29151,29,10.520636038505808,10.520636038505812,0.05118087885316975,0.05118087885316975
Cantonese,zh-yue,298572,132644,165928,1989488,12,256698,312,10.426928218229666,10.426928218229666,0.12157315020679414,0.12157315020679416
Tajik,tg,267124,109735,157389,1349721,6,39131,75,10.394162728115097,10.394162728115095,0.08333968813565405,0.08333968813565407
Banjarese,bjn,29308,10281,19027,87746,3,13591,38,10.254419095671514,10.254419095671516,0.04647608558851625,0.04647608558851624
Asturian,ast,235632,132599,103033,3966642,8,114192,111,10.163912778254138,10.16391277825414,0.10171900876083223,0.10171900876083222
Rusyn,rue,18818,8657,10161,136811,1,27582,31,10.015799470774128,10.015799470774128,0.009590749032567686,0.009590749032567686
Luganda,lg,6750,2703,4047,30063,2,7924,20,9.983960667426844,9.98396066742684,0.033661326565873145,0.033661326565873145
Banyumasan,map-bms,30347,13881,16466,214441,1,15688,22,9.943213687247253,9.943213687247253,0.011754780291472231,0.011754780291472231
Swahili,sw,164121,77350,86771,1284951,18,61053,172,9.852602943816283,9.852602943816283,0.44537992697663303,0.4453799269766331
Santali,sat,18965,8342,10623,114088,3,6729,34,9.755310831099898,9.7553108310999,0.11612180001775277,0.1161218000177528
Kurdish (Kurmanji),ku,117635,59223,58412,1176787,3,55644,91,9.731609011313003,9.731609011313003,0.04840801602213872,0.04840801602213872
Wayuu,guc,863,473,390,12093,1,614,25,9.526430199936629,9.52643019993663,0.47043363031091057,0.47043363031091057
Occitan,oc,159482,88765,70717,2366930,4,51356,120,9.41971760120163,9.419717601201627,0.1105110891492632,0.11051108914926322
Livvi-Karelian,olo,11544,4146,7398,33890,2,6563,14,9.347281224992066,9.347281224992066,0.022348887381402026,0.02234888738140203
Zeelandic,zea,10768,5736,5032,129043,3,12731,23,9.222791352252456,9.222791352252457,0.05697934683050682,0.05697934683050682
Pa'O,blk,5734,2391,3343,26275,3,892,22,8.957743799849744,8.957743799849746,0.4740464708664678,0.47404647086646773
Newar,new,166268,72348,93920,865991,2,26319,15,8.77743887419006,8.77743887419006,0.007707049181478659,0.00770704918147866
Welsh,cy,438026,278933,159093,11799599,16,80907,111,8.763340886980732,8.763340886980732,0.33726820063388,0.3372682006338801
Venetian,vec,141303,69170,72133,1110991,4,33946,43,8.550501678942803,8.550501678942803,0.041544660806204343,0.04154466080620435
Lombard,lmo,142186,71108,71078,1189444,5,40391,74,8.358351556622107,8.358351556622106,0.07659863262028893,0.07659863262028892
Chechen,ce,1188421,599841,588580,10023366,3,33931,50,8.120485187179927,8.120485187179927,0.03658535089821688,0.03658535089821688
Māori,mi,14438,7807,6631,162078,2,17868,24,8.098539944125326,8.098539944125326,0.025613986342224285,0.025613986342224285
Chuvash,cv,103743,51155,52588,792449,2,32993,48,8.072529664634445,8.072529664634446,0.02284864817208588,0.022848648172085883
Kashubian,csb,8759,5452,3307,187572,3,16211,25,7.878983269651233,7.878983269651233,0.06009568476586627,0.06009568476586628
Kikuyu,ki,3092,1505,1587,20924,1,8507,9,7.524646113855795,7.524646113855796,0.0075493877063010075,0.007549387706301008
Awadhi,awa,5564,2434,3130,25185,2,2436,10,7.485181941889758,7.485181941889759,0.047789370430128666,0.047789370430128666
Mazanderani,mzn,34476,15773,18703,177150,4,33394,38,7.2246735104860065,7.2246735104860065,0.027732971176700757,0.027732971176700757
Tarantino,roa-tara,18061,9320,8741,144910,3,11243,14,7.057436505881297,7.057436505881297,0.02811051818773369,0.02811051818773369
Zhuang (Standard Zhuang),za,4979,2600,2379,40973,2,10309,16,6.889660559349267,6.889660559349268,0.023372769180855454,0.023372769180855454
Paiwan,pwn,509,331,178,11943,1,1276,9,6.785465817510062,6.785465817510063,0.08899784557765876,0.08899784557765876
Acehnese,ace,26756,12735,14021,145097,3,25762,27,6.573509968619008,6.573509968619009,0.018772526620140572,0.01877252662014057
Samogitian,bat-smg,29699,17154,12545,358959,4,25128,25,6.464181472311313,6.464181472311313,0.035176316224986494,0.0351763162249865
Southern Min,zh-min-nan,1067606,432470,635136,3169749,6,57751,89,6.403764529019486,6.403764529019488,0.04031868501050675,0.04031868501050675
Zulu,zu,24640,10993,13647,101505,1,19237,44,6.348756335244048,6.348756335244049,0.011697229938047954,0.011697229938047954
Picard,pcd,10734,5535,5199,69811,3,16822,24,5.7380807092282415,5.738080709228242,0.026146847151903053,0.026146847151903053
Aymara,ay,8687,5058,3629,96075,1,16110,25,5.69320547074147,5.693205470741468,0.012313830835697792,0.012313830835697792
Irish,ga,99974,58612,41362,1137427,7,56343,86,5.665867879828408,5.665867879828408,0.08578433276862941,0.08578433276862943
Hakka Chinese,hak,19399,10085,9314,127083,1,31652,30,5.587644630502094,5.587644630502094,0.0057344074011716865,0.0057344074011716865
Low German,nds,165138,84207,80931,996178,4,51269,55,5.572157053418737,5.572157053418737,0.024878516015956233,0.024878516015956236
Gilaki,glk,14306,6816,7490,64581,4,15186,22,5.451186199072095,5.451186199072095,0.028746042105862693,0.028746042105862693
Yoruba,yo,56573,32661,23912,565967,3,26745,80,5.362344959497395,5.362344959497394,0.06572596387619979,0.06572596387619979
South Azerbaijani,azb,575993,243019,332974,1545108,4,42935,103,5.035954798650981,5.03595479865098,0.03526935182109115,0.03526935182109116
N'Ko,nqo,3236,1481,1755,11307,2,3508,13,4.906626542017346,4.906626542017347,0.03068843240309005,0.030688432403090042
Kabiye,kbp,3374,1697,1677,16442,2,4274,7,4.758959470839882,4.758959470839882,0.015774452829734158,0.015774452829734158
Madurese,mad,1873,1033,840,13296,1,2084,27,4.693979171161693,4.693979171161694,0.07478736693564964,0.07478736693564962
Burmese,my,229792,106571,123221,793326,4,111339,144,4.615387386562775,4.615387386562774,0.020650836007965225,0.020650836007965228
Jamaican Patois,jam,3064,1707,1357,21103,1,8070,19,4.352593318654696,4.352593318654697,0.012890858187609317,0.012890858187609319
Ido,io,55849,37710,18139,1016108,5,35750,59,4.209573396914677,4.209573396914677,0.07221497206738403,0.07221497206738403
Hill Mari,mrj,19327,10431,8896,103544,1,10483,12,3.8967105665647117,3.896710566564711,0.005230280498655475,0.005230280498655475
Mingrelian,xmf,37316,20197,17119,199725,5,18333,31,3.845212968315115,3.845212968315115,0.038355445513666174,0.03835544551366618
Balinese,ban,37911,19265,18646,154627,4,7198,32,3.8207922381291635,3.820792238129164,0.07019963978582211,0.0701996397858221
Shona,sn,19295,10556,8739,106615,1,16708,29,3.7870256262522393,3.787025626252239,0.007939797341116791,0.007939797341116791
Waray,war,2870624,1266160,1604464,6520578,3,55594,72,3.647476969442278,3.6474769694422777,0.011183480866199608,0.01118348086619961
Navajo,nv,36800,22252,14548,305280,2,16276,17,3.545839033892772,3.5458390338927717,0.011329637416723784,0.01132963741672378
Shan,shn,30407,13075,17332,60329,2,3810,13,3.486314146349372,3.486314146349372,0.017947663055417788,0.017947663055417788
Interlingua,ia,44985,30262,14723,656122,6,47475,38,3.4523454481535913,3.4523454481535922,0.03407888947161618,0.03407888947161617
Minangkabau,min,387993,226723,161270,2517957,5,17588,39,3.283525790203518,3.283525790203518,0.05118003514328442,0.05118003514328441
Eastern Min,cdo,32711,16222,16489,99473,4,20289,24,3.1418918871829074,3.141891887182907,0.014625539893928412,0.014625539893928414
Crimean Tatar,crh,47097,25583,21514,204949,2,19373,32,3.077456666396158,3.077456666396158,0.012089416734594266,0.012089416734594266
Hausa,ha,46071,26713,19358,264483,7,22625,175,3.014711559360793,3.014711559360792,0.225245148514557,0.22524514851455696
Western Punjabi,pnb,122422,69978,52444,626143,2,34995,64,2.8726494017139896,2.8726494017139896,0.01402013882532928,0.014020138825329279
Tumbuka,tum,27765,14233,13532,80505,3,7769,21,2.6209350338737507,2.6209350338737507,0.02235456093357082,0.02235456093357082
Sundanese,su,97928,61511,36417,656132,6,29904,58,2.3484812189076516,2.3484812189076516,0.046162112250490016,0.046162112250490016
Piedmontese,pms,103437,67892,35545,866476,4,26490,41,2.2961510476085745,2.2961510476085745,0.027152037674663825,0.027152037674663825
Zaza,diq,61384,40513,20871,520304,3,26539,28,2.249570911344165,2.249570911344165,0.013821194070515198,0.013821194070515198
Dagbani,dag,11102,6907,4195,65906,1,2801,44,2.189821671034634,2.1898216710346343,0.05663772596121117,0.056637725961211166
Cebuano,ceb,11226430,6123335,5103095,35004051,5,103536,169,2.1655484375498717,2.1655484375498717,0.021207408170335014,0.021207408170335017
Lingua Franca Nova,lfn,6721,4201,2520,38880,1,10793,27,2.081555904894444,2.081555904894444,0.008680841110436885,0.008680841110436884
Tatar,tt,782716,500234,282482,4072775,6,46816,101,1.659286394681871,1.6592863946818706,0.03803488426746712,0.03803488426746713
Atikamekw,atj,3077,1955,1122,15111,5,4149,14,1.6175506916674909,1.6175506916674909,0.04755173962299533,0.04755173962299533
Igbo,ig,22791,15226,7565,113082,4,16261,100,1.2248314060195096,1.2248314060195098,0.060640943284362724,0.060640943284362724
Meitei,mni,16432,10221,6211,50766,2,3247,15,1.140824399425261,1.1408243994252607,0.017345611948191095,0.017345611948191095
Interlingue,ie,15576,11649,3927,155061,2,18381,39,1.131334819939266,1.1313348199392663,0.01424112720168559,0.014241127201685591
Gorontalo,gor,21842,13904,7938,52577,2,4777,26,0.7845959647074494,0.7845959647074493,0.014959698371274267,0.014959698371274264
Buginese,bug,20096,15825,4271,202092,1,12944,16,0.7325060319610619,0.7325060319610618,0.003354878766934444,0.003354878766934444
Atayal,tay,2898,2430,468,54748,1,1463,8,0.7007272978573748,0.7007272978573748,0.019895511900887664,0.019895511900887657
Wu Chinese,wuu,57135,42860,14275,303314,4,82906,56,0.5888953500486637,0.5888953500486636,0.00477723088283192,0.00477723088283192
Kyrgyz,ky,110446,80347,30099,444981,2,36368,70,0.5654006175157528,0.5654006175157528,0.005810085113113514,0.005810085113113515
Haitian Creole,ht,83754,68464,15290,821658,3,30610,71,0.48930084186442696,0.48930084186442707,0.015245687746510951,0.015245687746510951
Northern Sotho,nso,10852,8548,2304,50301,1,6401,16,0.33674624097240935,0.3367462409724094,0.003122891896049397,0.003122891896049397
Egyptian Arabic,arz,2073210,1617808,455402,8146708,7,211820,216,0.3113685650346236,0.3113685650346236,0.007895718161153207,0.007895718161153207
Silesian,szl,70770,57018,13752,355093,2,23253,46,0.2918775442024791,0.2918775442024792,0.004788016465573559,0.004788016465573559
Kotava,avk,33627,27610,6017,137220,6,4103,30,0.19380121739213846,0.19380121739213846,0.03901340750704468,0.03901340750704468
Saraiki,skr,6570,5719,851,28985,2,1889,12,0.09768477088496898,0.09768477088496895,0.008340588261054506,0.008340588261054506
Ladin,lld,173330,167761,5569,217390,3,3768,25,0.0013820961234089714,0.0013820961234089703,0.0008287096698254993,0.0008287096698254994
