Language,Wiki,Edits,botEdits,Percentage
Greenlandic,kl,74746,6927,9.26738554571482
Sindhi,sd,242655,21330,8.790257773381962
Sakizaya,szy,130936,11382,8.692796480723407
Sinhala,si,543471,44814,8.245886165039165
Jamaican Patois,jam,21029,1716,8.160159779352323
Aromanian,roa-rup,206628,16358,7.916642468590898
Assamese,as,353391,27898,7.8943719562750605
Chewa,ny,41560,3122,7.512030798845044
Cree,cr,38220,2852,7.462061747776033
Tumbuka,tum,61062,4512,7.389210965903508
Shilha,shi,40927,3009,7.352114740880103
Japanese,ja,94512996,6532604,6.911857920576341
Hausa,ha,244160,16558,6.781618610747051
English,en,1144555884,71455459,6.24307296820467
German,de,231114408,13181454,5.703432388343352
Lingua Franca Nova,lfn,38718,2064,5.33085386641872
Amis,ami,35724,1848,5.17299294591871
Ripuarian,ksh,1607356,79757,4.961999706350055
Twi,tw,107129,4726,4.41150388783616
Bihari (Bhojpuri),bh,744087,31652,4.253803654680165
Akan,ak,29840,1211,4.0583109919571045
Adyghe,ady,12722,436,3.4271340984121994
Paiwan,pwn,11893,308,2.5897586815773983
Shan,shn,59379,1403,2.3627881911113358
Ingush,inh,61575,1379,2.23954526999594
Gun,guw,34895,751,2.1521707981086116
Tyap,kcg,21407,389,1.817162610361097
Tuvan,tyv,44253,737,1.6654238130748198
Konkani (Goan Konkani),gom,207541,3383,1.63003936571569
French Guianese Creole,gcr,16719,166,0.9928823494228124
Dinka,din,8257,80,0.9688748940293085
Southern Altai,alt,39811,305,0.7661199166059631
Maithili,mai,232763,1549,0.665483775342301
Tulu,tcy,108639,682,0.6277671922606062
Kotava,avk,135628,709,0.5227534137493732
Mon,mnw,39613,192,0.4846893696513771
Gorontalo,gor,52348,239,0.4565599449835715
Inari Sámi,smn,82833,349,0.42132966329844385
Madurese,mad,12728,45,0.3535512256442489
Doteli,dty,238469,782,0.3279252229849582
Saraiki,skr,28445,67,0.23554227456494992
Kabiye,kbp,16253,31,0.1907340183350766
Atikamekw,atj,15065,28,0.18586126783936277
Meitei,mni,50572,87,0.17203195444119276
Awadhi,awa,24281,41,0.1688563074008484
Seediq,trv,91622,124,0.13533867411757003
Ladin,lld,178638,215,0.12035513160693694
Dagbani,dag,61365,73,0.11896031940030963
N'Ko,nqo,11106,12,0.10804970286331712
Atayal,tay,54647,38,0.06953721155781653
Nias,nia,20016,3,0.01498800959232614
Santali,sat,112439,8,0.00711496900541627
Pa'O,blk,25416,0,0.0
Wayuu,guc,11559,0,0.0
Nigerian Pidgin,pcm,20027,0,0.0
Frafra,gur,5575,0,0.0
