Language,Wiki,Articles
English,en,6496828.0
German,de,2804655.0
French,fr,2449544.0
Spanish,es,1865134.0
Russian,ru,1769253.0
Italian,it,1697925.0
Egyptian Arabic,arz,1617793.0
Polish,pl,1384075.0
Japanese,ja,1375705.0
Dutch,nl,1274996.0
Chinese,zh,1198892.0
Waray,war,998809.0
Portuguese,pt,971175.0
Swedish,sv,819358.0
Arabic,ar,727123.0
Persian,fa,670821.0
Catalan,ca,655259.0
Korean,ko,605961.0
Norwegian (Bokmål),no,603165.0
Finnish,fi,545114.0
Vietnamese,vi,537255.0
Czech,cs,522604.0
Turkish,tr,507497.0
Indonesian,id,491226.0
Hungarian,hu,446793.0
Serbian,sr,344859.0
Hebrew,he,333656.0
Malay,ms,306324.0
Esperanto,eo,302669.0
Danish,da,275736.0
Bulgarian,bg,255858.0
Romanian,ro,255185.0
Uzbek,uz,238607.0
Simple English,simple,230153.0
Armenian,hy,229478.0
Belarusian,be,226589.0
Greek,el,222259.0
Basque,eu,209317.0
Lithuanian,lt,207242.0
Serbo-Croatian,sh,203933.0
Croatian,hr,200946.0
Azerbaijani,az,192232.0
Galician,gl,188766.0
Kazakh,kk,183434.0
Slovene,sl,180353.0
Ladin,lld,166000.0
Georgian,ka,162707.0
Slovak,sk,160167.0
Hindi,hi,156747.0
Norwegian (Nynorsk),nn,151274.0
Tamil,ta,148854.0
Bengali,bn,133809.0
Thai,th,132737.0
Cantonese,zh-yue,132640.0
Asturian,ast,132599.0
Ukrainian,uk,123675.0
Latvian,lv,120369.0
Latin,la,119682.0
Estonian,et,116181.0
Minangkabau,min,109266.0
Urdu,ur,104132.0
Chechen,ce,95155.0
Welsh,cy,94749.0
Bosnian,bs,89219.0
Malayalam,ml,83674.0
Low German,nds,83111.0
Telugu,te,82837.0
Tajik,tg,81722.0
Albanian,sq,81335.0
Breton,br,80018.0
Marathi,mr,78272.0
Swahili,sw,77254.0
Afrikaans,af,73686.0
Javanese,jv,70099.0
Western Punjabi,pnb,69978.0
Venetian,vec,69170.0
Tatar,tt,68676.0
Bashkir,ba,61320.0
Sundanese,su,60723.0
Icelandic,is,56733.0
Belarusian (Taraškievica),be-tarask,54460.0
South Azerbaijani,azb,53640.0
Kurdish (Kurmanji),ku,52512.0
West Frisian,fy,51529.0
Occitan,oc,51492.0
Kurdish (Sorani),ckb,49900.0
Tagalog,tl,44734.0
Luxembourgish,lb,42000.0
Macedonian,mk,41562.0
Wu Chinese,wuu,41269.0
Zaza,diq,40512.0
Piedmontese,pms,39908.0
Aragonese,an,39514.0
Burmese,my,38421.0
Ido,io,37710.0
Punjabi,pa,37627.0
Scots,sco,36101.0
Lombard,lmo,34073.0
Yoruba,yo,32659.0
Southern Min,zh-min-nan,31267.0
Nepali,ne,30918.0
Kyrgyz,ky,30269.0
Interlingua,ia,30261.0
Kannada,kn,30002.0
Gujarati,gu,29886.0
Irish,ga,28881.0
Alemannic German,als,28674.0
Chuvash,cv,28312.0
Kotava,avk,27610.0
Bavarian,bar,26835.0
Hausa,ha,26713.0
Crimean Tatar,crh,25583.0
Cebuano,ceb,23929.0
Bishnupriya Manipuri,bpy,23053.0
Navajo,nv,22252.0
Mongolian,mn,21841.0
Quechua (Southern Quechua),qu,20835.0
Haitian Creole,ht,19826.0
Mingrelian,xmf,19793.0
Balinese,ban,19265.0
Sinhala,si,19153.0
Volapük,vo,18594.0
North Frisian,frr,17398.0
Samogitian,bat-smg,17154.0
Pashto,ps,16658.0
Yakut,sah,16559.0
Scottish Gaelic,gd,15929.0
Buginese,bug,15825.0
Mazanderani,mzn,15773.0
Sindhi,sd,15462.0
Yiddish,yi,15455.0
Neapolitan,nap,14774.0
Ossetian,os,14578.0
Limburgish,li,14304.0
Tumbuka,tum,14233.0
Faroese,fo,13929.0
Upper Sorbian,hsb,13896.0
Banyumasan,map-bms,13879.0
Maithili,mai,13755.0
Central Bikol,bcl,13743.0
Silesian,szl,13704.0
Odia,or,13653.0
Ilocano,ilo,13390.0
Shan,shn,13075.0
Emilian-Romagnol,eml,13032.0
Acehnese,ace,12735.0
Sanskrit,sa,12052.0
Assamese,as,11825.0
Walloon,wa,11792.0
Interlingue,ie,11649.0
Ligurian,lij,11134.0
Meadow Mari,mhr,10912.0
Classical Chinese,zh-classical,10607.0
Shona,sn,10556.0
Hill Mari,mrj,10431.0
Banjarese,bjn,10281.0
Meitei,mni,10215.0
Khmer,km,10163.0
Hakka Chinese,hak,10085.0
Malagasy,mg,10014.0
Tarantino,roa-tara,9319.0
Zulu,zu,9182.0
Kapampangan,pam,8909.0
Newar,new,8889.0
Western Armenian,hyw,8766.0
Fiji Hindi,hif,8654.0
Northern Sotho,nso,8548.0
Rusyn,rue,8413.0
