Language,Wiki,Depth
Komi,kv,20.034558315494408
Nigerian Pidgin,pcm,20.02373631407571
Yakut,sah,19.465577099889906
Seediq,trv,19.274207501591665
Faroese,fo,19.099312921399505
Occitan,oc,18.90244865575967
Welsh,cy,18.73018219306585
Lithuanian,lt,18.72385741239023
Central Bikol,bcl,18.325446011478267
Uzbek,uz,18.296763762505964
Abkhaz,ab,18.221673029295562
Irish,ga,17.725299439411916
Tongan,to,17.44120789977279
Ligurian,lij,16.670120975923243
Eastern Min,cdo,16.151615727607773
Belarusian,be,16.06588458383354
Quechua (Southern Quechua),qu,15.386429084166448
Chuvash,cv,15.320893409711463
Twi,tw,15.208856350982817
Extremaduran,ext,14.959567489386142
Croatian,hr,14.760881122940061
Latin,la,14.743955379731128
Amis,ami,14.324365995108053
Turkmen,tk,13.740230883535993
French Guianese Creole,gcr,13.622029647099112
Meadow Mari,mhr,13.248639889541616
Sindhi,sd,13.227107449977634
Esperanto,eo,12.750486674998486
Karakalpak,kaa,12.66986977860546
Norwegian (Nynorsk),nn,12.305236859478454
Hawaiian,haw,12.155370929802455
Tajik,tg,11.898930265965905
Maithili,mai,11.824207973085382
Javanese,jv,11.469995801954557
Kazakh,kk,11.31840087186193
North Frisian,frr,11.305909744613416
Cornish,kw,11.167907374377759
Chavacano (Zamboanga),cbk-zam,10.790505639575702
Kongo (Kituba),kg,10.581758009756589
Banjarese,bjn,10.24425185771966
Guarani,gn,10.194291503323612
Asturian,ast,10.163361873673557
Banyumasan,map-bms,9.874885547404403
Santali,sat,9.75462677592627
Western Armenian,hyw,9.610042606787362
Kapampangan,pam,9.564414024321879
Wayuu,guc,9.182965090602934
Pa'O,blk,8.957743799849744
Kinyarwanda,rw,8.860782650579788
Cantonese,zh-yue,8.370846763300964
Emilian-Romagnol,eml,8.213861243671207
Scottish Gaelic,gd,8.144689257508547
Luganda,lg,8.10260693756046
Kurdish (Kurmanji),ku,7.857291117080476
Awadhi,awa,7.47299641639373
Māori,mi,7.19361909715751
Neapolitan,nap,7.148607761227759
Breton,br,6.861144290650455
Silesian,szl,6.796121240667037
Dinka,din,6.55142828335487
Kikuyu,ki,6.442555683890584
Venetian,vec,6.338458970174951
Rusyn,rue,6.2840132669261255
Paiwan,pwn,6.097431060329732
Norman,nrm,5.950104882259459
Swahili,sw,5.816588475840245
Hakka Chinese,hak,5.389258909573051
Lao,lo,5.330453409900746
Piedmontese,pms,5.245660944723379
Kyrgyz,ky,4.958867248541534
Võro,fiu-vro,4.8467038796146396
Kabiye,kbp,4.749986855367553
Minangkabau,min,4.637460367830665
Zhuang (Standard Zhuang),za,4.512506547499497
Papiamento,pap,4.403242338986003
Jamaican Patois,jam,3.998660222184457
Tarantino,roa-tara,3.9866697855968054
Gilaki,glk,3.981380756535708
Lhasa Tibetan,bo,3.976404310193176
Acehnese,ace,3.7567638691895358
Kashubian,csb,3.7340537663949704
Bashkir,ba,3.696685728437179
Picard,pcd,3.483896362197193
Mingrelian,xmf,3.4303080534087234
Shan,shn,3.4052370731784563
Shona,sn,3.293325216560546
Haitian Creole,ht,3.216936151974789
Low German,nds,3.2041092939112987
Navajo,nv,3.181812103988312
Aymara,ay,3.1448775179570183
Frafra,gur,3.056841105717755
Hill Mari,mrj,3.03253529093285
Nias,nia,2.9861648979500277
N'Ko,nqo,2.9061358407968667
Madurese,mad,2.854303670189703
Zulu,zu,2.850080984795011
Crimean Tatar,crh,2.8288263852911633
Yoruba,yo,2.724404207832486
Balinese,ban,2.7134501610047264
Samogitian,bat-smg,2.678817856900486
Interlingua,ia,2.065363980214689
Lingua Franca Nova,lfn,1.9710535543877017
Zaza,diq,1.7790454740616106
Ido,io,1.6779374109757814
Atikamekw,atj,1.6145534433472808
Gun,guw,1.230765582683388
Atayal,tay,0.700240930550467
Sundanese,su,0.5970142038481129
Wu Chinese,wuu,0.4999401375711615
Meitei,mni,0.3845293388156532
Interlingue,ie,0.3409887988899952
Northern Sotho,nso,0.27017490799235655
Western Punjabi,pnb,0.26154408352870057
Kotava,avk,0.192799868732096
Buginese,bug,0.17183582706495074
Egyptian Arabic,arz,0.1387279258070906
Ladin,lld,-0.007726309407891559
Tuvan,tyv,-0.1320459535152251
Zeelandic,zea,-0.17588935097520436
Saraiki,skr,-0.181663314726596
Tumbuka,tum,-1.1755058849522328
Mazanderani,mzn,-1.6621439096436224
Dagbani,dag,-1.6859759541109973
Sardinian,sc,-2.1587106087674246
Hausa,ha,-2.19970684750462
Waray,war,-3.2622359468714444
Kabyle,kab,-4.849570238201625
Kabardian,kbd,-6.716165310169692
Gorontalo,gor,-7.3121744355874325
Livvi-Karelian,olo,-7.602404316497341
Igbo,ig,-27.104757980656032
Xhosa,xh,-32.67682951058045
Akan,ak,
